hcpcs_code,hcpcs_desc,tot_services,num_npi,num_per_npi
36226,Insertion of catheter into chest artery for diagnosis or treatment,71044.0,433,164.07
61783,Computer-assisted spinal procedure,68848.0,940,73.24
J1100,"Injection, dexamethasone sodium phosphate, 1mg",68427.0,41,1668.95
63030,Partial removal of bone with release of spinal cord or spinal nerves of 1 interspace in lower spine,66984.0,1109,60.4
72050,"X-ray of upper spine, 4 or 5 views",65393.0,392,166.82
J2275,"Injection, morphine sulfate (preservative-free sterile solution), per 10 mg",64313.0,4,16078.25
61781,Computer-assisted procedure inside the brain,61200.0,817,74.91
20931,Donor bone graft for spine surgery,58894.0,840,70.11
A9575,"Injection, gadoterate meglumine, 0.1 ml",48610.0,11,4419.09
J1040,"Injection, methylprednisolone acetate, 80 mg",47762.0,81,589.65
69990,Use of operating microscope,44954.0,683,65.82
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",44784.5,25,1791.38
99211,"Established patient office or other outpatient visit, typically 5 minutes",43432.0,509,85.33
Q9966,"Low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml",42492.0,17,2499.53
72141,MRI scan of upper spinal canal,42013.0,288,145.88
J0588,"Injection, incobotulinumtoxin a, 1 unit",40880.0,1,40880.0
63685,Insertion of spinal neurostimulator pulse generator or receiver,40856.0,525,77.82
62311,Injection of diagnostic or therapeutic substances into upper or middle spine,39113.0,159,245.99
64493,Injection of lower spine facet joint using imaging guidance,37673.0,129,292.04
97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",36803.3,56,657.2
61800,Application of stereotactic headframe for stereotactic radiosurgery,36046.0,281,128.28
62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,33413.0,119,280.78
61796,Stereotactic treatment of brain growth,33138.0,348,95.22
64483,Injection of lower or sacral spine nerve root using imaging guidance,32954.0,134,245.93
J0702,"Injection, betamethasone acetate 3mg and betamethasone sodium phosphate 3mg",32154.0,27,1190.89
61797,Stereotactic treatment of brain growth,32136.0,170,189.04
36223,Insertion of catheter into neck artery for diagnosis or treatment,31591.0,295,107.09
77003,Fluoroscopic guidance for spine or spinal canal injection,31541.0,201,156.92
22634,"Fusion of lower spine bones with removal of disc, combined posterior, posterolateral or interbody approach, additional interspace and segment",31024.0,390,79.55
22558,"Fusion of spine bones with removal of disc at lower spinal column, anterior approach",30677.0,437,70.2
64494,Injection of lower spine facet joint using imaging guidance,30090.0,100,300.9
75898,Imaging of blood vessel,29695.0,249,119.26
99152,"Moderate sedation services by physician also performing a procedure, patient 5 years of age or older, first 15 minutes",29376.0,245,119.9
99442,"Telephone medical discussion with physician, 11-20 minutes",28740.0,588,48.88
95004,Test for allergy using allergenic extract,27876.0,2,13938.0
G0453,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)",27868.5,12,2322.38
J0475,"Injection, baclofen, 10 mg",27763.0,21,1322.05
J3490,Unclassified drugs,27670.0,17,1627.65
83925,Opiates (drug) measurement,27338.0,5,5467.6
95886,Needle measurement and recording of electrical activity of muscles of arm or leg and spinal muscles complete study,25834.0,89,290.27
61885,Insertion or replacement of brain neurostimulator generator or receiver,25478.0,263,96.87
J1030,"Injection, methylprednisolone acetate, 40 mg",25166.0,69,364.72
76000,"Imaging guidance for procedure, up to 1 hour",24069.0,220,109.4
76377,3D radiographic procedure with computerized image postprocessing,23926.0,249,96.09
80307,Testing for presence of drug,23295.0,27,862.78
J3010,"Injection, fentanyl citrate, 0. 1 mg",23091.5,12,1924.29
22600,"Fusion of upper spine bones, posterior or posterolateral approach",23010.0,582,39.54
70450,CT scan head or brain,22565.0,152,148.45
63655,Implantation of spinal neurostimulator electrodes,22485.0,379,59.33
J2704,"Injection, propofol, 10 mg",22478.0,6,3746.33
72114,X-ray lower and sacral spine including bending views minimum 6 views,22272.0,130,171.32
61886,Insertion or replacement of brain neurostimulator generator or receiver,22268.0,210,106.04
72120,X-ray lower and sacral spine including bending views 2 or 3 views,21742.0,143,152.04
36227,Insertion of catheter into neck artery for diagnosis or treatment,21578.0,256,84.29
Q9974,"Injection, Morphine Sulfate, Preservative-Free For Epidural Or Intrathecal Use, 10 mg",21547.0,2,10773.5
20937,Harvest of bone fragments for spine surgery graft,21475.0,239,89.85
22630,"Fusion of lower spine bones with removal of disc, posterior approach",21361.0,309,69.13
20939,Harvest of bone marrow for spine surgery graft,21130.0,280,75.46
76937,Ultrasound guidance for accessing into blood vessel,20734.0,193,107.43
38220,Bone marrow aspiration,20602.0,293,70.31
22585,"Fusion of spine bones with removal of disc at lower spinal column, anterior approach, additional interspace",20540.0,280,73.36
99441,"Telephone medical discussion with physician, 5-10 minutes",20303.0,417,48.69
99201,"New patient office or other outpatient visit, typically 10 minutes",19776.0,230,85.98
63650,Implantation of spinal neurostimulator electrodes,19671.0,123,159.93
75894,Radiological supervision and interpretation of removal of clot procedure,19524.0,253,77.17
61510,Removal of brain tumor,19310.0,310,62.29
J7320,"Hyaluronan or derivitive, genvisc 850, for intra-articular injection, 1 mg",18853.0,2,9426.5
G6056,"Opiate(s), drug and metabolites, each procedure",18819.0,2,9409.5
72082,"X-ray of spine, 2 or 3 views",18710.0,115,162.7
22216,Incision of spine bone to correct spinal deformity of spinal column,18625.0,122,152.66
61624,Occlusion of abnormal artery,18468.0,250,73.87
G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imple",18372.0,221,83.13
72131,CT scan of lower spine,18367.0,128,143.49
64495,Injection of lower spine facet joint using imaging guidance,18206.0,52,350.12
95972,Electronic analysis and programming of implanted complex spinal cord neurostimulator generator system during or subsequent to surgery first hour,17962.0,164,109.52
63056,Release of lower spinal cord or nerves,17935.0,207,86.64
70553,MRI scan of brain before and after contrast,17572.0,135,130.16
72070,"X-ray of middle spine, 3 views",17356.0,214,81.1
62252,Reprogramming of programmable brain and spinal fluid shunt,17045.0,118,144.45
27096,"Injection procedure into sacroiliac joint for imaging, anesthetic, or drug administration using imaging guidance",16747.0,115,145.63
72158,MRI scan of lower spinal canal before and after contrast,16434.0,149,110.3
G0431,"Drug screen, qualitative; multiple drug classes by high complexity test method (e. g. , immunoassay, enzyme assay), per patient encounter",16292.0,19,857.47
J1885,"Injection, ketorolac tromethamine, per 15 mg",16220.0,39,415.9
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",16200.0,1,16200.0
83789,Mass spectrometry (laboratory testing method),15764.0,1,15764.0
61798,Stereotactic treatment of brain growth,15449.0,173,89.3
22514,Injection of bone cement into body of lower spine bone accessed through the skin using imaging guidance,14876.0,266,55.92
36415,Insertion of needle into vein for collection of blood sample,14468.0,124,116.68
99443,"Telephone medical discussion with physician, 21-30 minutes",14445.0,290,49.81
64484,Injection of lower or sacral spine nerve root using imaging guidance,14280.0,54,264.44
63042,Re-exploration of spine repair with release of spinal cord or nerves,14186.0,253,56.07
72291,Imaging for repair or reconstruction of vertebra using fluoroscopic guidance,14003.0,286,48.96
99309,"Subsequent nursing facility visit, typically 25 minutes per day",13730.0,10,1373.0
64636,Injection of each additional lower or sacral spinal facet joint using imaging guidance,13671.0,49,279.0
62284,Injection of dye for X-ray imaging of spinal canal,13267.0,84,157.94
63045,Partial removal of upper spine bone with release of spinal cord or nerves,13156.0,372,35.37
72052,"X-ray of upper spine, 6 or more views",13122.0,96,136.69
97530,"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",12886.0,32,402.69
22513,Injection of bone cement into body of middle spine bone accessed through the skin using imaging guidance,12759.0,223,57.22
22214,Incision of spine to correct deformity at lower spinal column,12667.0,180,70.37
99284,"Emergency department visit, problem of high severity",12580.0,187,67.27
Q9965,"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml",12456.0,8,1557.0
61645,"Removal of blood clot and injection to dissolve blood clot from head artery using fluoroscopic guidance, accessed through skin",12361.0,269,45.95
11042,Removal of skin and tissue first 20 sq cm or less,12322.0,10,1232.2
63035,Partial removal of bone with release of spinal cord or spinal nerves each additional interspace in upper or lower spine,12088.0,157,76.99
93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),11970.0,25,478.8
62369,Electronic analysis reprogramming and refill of spinal canal drug infusion pump,11969.0,34,352.03
20552,Injection of trigger points in 1 or 2 muscles,11952.0,46,259.83
99308,"Subsequent nursing facility visit, typically 15 minutes per day",11787.0,10,1178.7
22843,"Insertion of posterior spinal instrumentation for spinal stabilization, 7 to 12 vertebral segments",11762.0,211,55.74
61867,Implantation of brain neurostimulator electrodes microelectrode recording,11740.0,146,80.41
62370,Electronic analysis reprogramming and refill of spinal canal drug infusion pump by physician,11682.0,32,365.06
22830,Exploration of spinal fusion,11578.0,204,56.75
80154,Benzodiazepines level,11357.0,5,2271.4
95978,Electronic analysis and programming of implanted complex deep brain neurostimulator generator system,11286.0,86,131.23
72020,"X-ray of spine, 1 view",11223.0,90,124.7
99238,"Hospital discharge day management, 30 minutes or less",11132.0,207,53.78
83986,Body fluid pH level,10525.0,8,1315.62
81003,Automated urinalysis test,10343.0,9,1149.22
64490,Injection of upper or middle spine facet joint using imaging guidance,10159.0,61,166.54
84311,Chemical analysis using spectrophotometry (light),10097.0,5,2019.4
82570,Creatinine level to test for kidney function or muscle injury,9915.0,8,1239.38
63082,Partial or complete removal of upper spine bone with release of spinal cord or nerves,9898.0,89,111.21
62362,Implantation or replacement of programmable spinal canal drug infusion pump,9775.0,170,57.5
22846,"Insertion of anterior spinal instrumentation for spinal stabilization, 4 to 7 vertebral segments",9767.0,254,38.45
63057,Release of lower spinal cord or nerves,9514.0,68,139.91
99292,"Critical care delivery critically ill or injured patient, each additional 30 minutes",9030.0,57,158.42
70551,MRI scan brain,8997.0,73,123.25
63052,Partial removal of bone of single segment of spine in lower back with release of spinal cord and/or nerves during fusion of spine in lower back,8932.0,437,20.44
64721,Release and relocation of median nerve of hand,8882.0,188,47.24
96127,Brief emotional or behavioral assessment,8822.0,10,882.2
G0283,"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care",8766.0,32,273.94
62368,Electronic analysis and reprogramming of spinal canal drug infusion pump,8707.0,27,322.48
72146,MRI scan of middle spinal canal,8614.0,109,79.03
64491,Injection of upper or middle spine facet joint using imaging guidance,8554.0,46,185.96
99144,"Moderate sedation services by physician also performing a procedure, patient 5 years of age or older, first 30 minutes",8547.0,39,219.15
82145,Amphetamine or methamphetamine level,8528.0,5,1705.6
99283,"Emergency department visit, moderately severe problem",8459.0,161,52.54
62322,Injection of substance into spinal canal of lower back or sacrum,8381.0,22,380.95
96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",8352.0,60,139.2
64635,Injection of lower or sacral spinal facet joint nerve using imaging guidance,8327.0,55,151.4
62223,Creation of brain fluid drainage shunt,8188.0,162,50.54
77002,Fluoroscopic imaging guidance for insertion of device,8098.0,57,142.07
20610,Aspiration or injection of large joint or joint capsule,8070.0,49,164.69
76942,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,8056.0,20,402.8
80305,Testing for presence of drug,8030.0,33,243.33
36225,Insertion of catheter into chest artery for diagnosis or treatment,7976.0,123,64.85
63081,Partial or complete removal of upper spine bone with release of spinal cord or nerves,7852.0,148,53.05
22848,Insertion of instrumentation to pelvic bones,7793.0,117,66.61
95816,"Measurement and recording of brain wave (EEG) activity, awake and drowsy",7541.0,38,198.45
95970,Electronic analysis of implanted simple or complex brain spinal cord or peripheral neurostimulator generator system,7453.0,66,112.92
77300,Calculation of radiation therapy dose,7377.0,3,2459.0
72125,CT scan of upper spine,7028.0,85,82.68
G0479,"Drug tests(s), presumptive, any number of drug classes; any number of devices or procedures by instrumented chemistry analyzers utilizing immunoassay, enzyme assay, TOF, MALDI, LDTD, DESI, DART, GHPC, GC mass spectrometry), includes sample validation when",7019.0,10,701.9
J2250,"Injection, midazolam hydrochloride, per 1 mg",7009.2,13,539.17
61312,Aspiration of blood accumulation in brain,6952.0,233,29.84
22554,"Fusion of spine bones with removal of disc at upper spinal column, anterior approach",6935.0,144,48.16
95938,Insertion of needles and skin electrodes for measurement and recording of stimulated sites in the arms and legs,6882.0,18,382.33
99490,Chronic care management services at least 20 minutes per calendar month,6849.0,6,1141.5
93886,Ultrasound scanning of head and neck vessel blood flow (inside the brain),6832.0,12,569.33
99285,"Emergency department visit, problem with significant threat to life or function",6821.0,93,73.34
82565,Blood creatinine level,6774.0,54,125.44
22854,Insertion of device into gap left by removal of part of vertebra and fusion of vertebrae,6632.0,75,88.43
72170,"X-ray of pelvis, 1 or 2 views",6461.0,39,165.67
99350,"Established patient home visit, typically 60 minutes",6258.0,3,2086.0
95983,"Electronic analysis of implanted brain, spinal cord or peripheral stimulation device with brain stimulator programming, first 15 minutes face-to-face time with qualified health care professional",6173.0,57,108.3
63044,Re-exploration of spine repair with release of spinal cord or nerves,6158.0,57,108.04
82649,Dihydromorphinone (drug) level,6052.0,5,1210.4
82646,Dihydrocodeinone (drug) measurement,6051.0,5,1210.2
82520,Cocaine (drug) level,6050.0,5,1210.0
76376,3D radiographic procedure,6042.0,32,188.81
63012,Partial removal of bone with release of spinal cord or spinal nerves,6016.0,89,67.6
95911,"Nerve transmission studies, 9-10 studies",6016.0,44,136.73
62310,Injection of diagnostic or therapeutic substances into lower spine,5958.0,43,138.56
63267,Removal of lower spine bone and growth,5805.0,158,36.74
22515,Injection of bone cement into body of middle or lower spine bone accessed through the skin using imaging guidance,5587.0,90,62.08
97112,"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",5502.0,23,239.22
62321,Injection of substance into spinal canal of upper or middle back using imaging guidance,5490.0,37,148.38
64492,Injection of upper or middle spine facet joint using imaging guidance,5436.0,24,226.5
95885,Needle measurement and recording of electrical activity of muscles of arm or leg and spinal muscles limited study,5127.0,23,222.91
J0897,"Injection, denosumab, 1 mg",5118.0,3,1706.0
22524,Injection of bone cement into cavity of body of lower spine bone,4970.0,180,27.61
99354,Prolonged office or other outpatient service first hour,4910.0,30,163.67
G6042,Amphetamine or methamphetamine,4887.0,2,2443.5
G6053,Methadone,4887.0,2,2443.5
G6052,Meprobamate,4887.0,2,2443.5
G6031,Benzodiazepines,4886.0,2,2443.0
G6045,Dihydrocodeinone,4855.0,2,2427.5
G6044,Cocaine or metabolite,4854.0,2,2427.0
G6046,Dihydromorphinone,4853.0,2,2426.5
G6037,Nortriptyline,4822.0,1,4822.0
G6032,Desipramine,4821.0,1,4821.0
95819,"Measurement and recording of brain wave (EEG) activity, awake and asleep",4810.0,30,160.33
93000,Routine EKG using at least 12 leads including interpretation and report,4807.0,17,282.76
93892,Ultrasound scanning for blood clot detection in head and neck vessel blood flow (inside the brain),4662.0,8,582.75
J0587,"Injection, rimabotulinumtoxinb, 100 units",4551.0,2,2275.5
72080,"X-ray of middle and lower spine, 2 views",4514.0,62,72.81
20926,Tissue graft,4443.0,63,70.52
76001,"Imaging guidance for procedure, more than 1 hour",4432.0,40,110.8
97035,"Application of ultrasound to 1 or more areas, each 15 minutes",4384.0,8,548.0
97001,Physical therapy evaluation,4299.0,40,107.48
22610,"Fusion of middle spine bones, posterior or posterolateral approach",4292.0,122,35.18
62350,"Implantation, revision, or repositioning of spinal canal medication catheter",4241.0,81,52.36
11043,Removal of skin and/or muscle first 20 sq cm or less,4184.0,6,697.33
22523,Injection of cement into body of middle spine bone,4181.0,145,28.83
L8680,"Implantable neurostimulator electrode, each",4106.0,13,315.85
99406,"Smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",4095.0,79,51.84
G0434,"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter",4091.0,33,123.97
20553,Injection of trigger points in 3 or more muscles,4069.0,23,176.91
97161,"Evaluation of physical therapy, typically 20 minutes",4068.0,35,116.23
99307,"Subsequent nursing facility visit, typically 10 minutes per day",3962.0,6,660.33
71020,"X-ray of chest, 2 views, front and side",3906.0,40,97.65
92543,Assessment and recording of balance system during irrigation of both ears,3864.0,9,429.33
95861,Needle measurement and recording of electrical activity of muscles of arms or legs,3807.0,17,223.94
99497,Advance care planning by the physician or other qualified health care professional,3790.0,6,631.67
97032,"Application of electrical stimulation to 1 or more areas, each 15 minutes",3707.0,7,529.57
75710,Imaging of artery of arm or leg,3682.0,34,108.29
72275,Radiological supervision and interpretation X-ray of covering of spinal cord,3661.0,21,174.33
72084,"X-ray of spine, minimum of 6 views",3640.0,18,202.22
99183,Management and supervision of oxygen chamber therapy per session,3636.0,3,1212.0
22310,Treatment of broken spine bone,3574.0,61,58.59
J3111,"Injection, romosozumab-aqqg, 1 mg",3570.0,1,3570.0
22632,"Fusion of lower spine bones with removal of disc, posterior approach, additional interspace",3556.0,58,61.31
95951,Monitoring and localization of seizure activity over 24-hour period using 16-channel electroencephalograph (EEG),3472.0,11,315.64
71046,"X-ray of chest, 2 views",3445.0,41,84.02
95971,Electronic analysis and programming of implanted simple spinal cord neurostimulator generator system during or subsequent to surgery,3432.0,53,64.75
93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,3423.0,8,427.88
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",3422.0,4,855.5
76998,Ultrasonic guidance during surgery,3394.0,62,54.74
36228,Insertion of catheter into neck artery for diagnosis or treatment,3370.0,73,46.16
83805,Meprobamate (sedative) level,3327.0,2,1663.5
84520,Urea nitrogen level to assess kidney function,3308.0,20,165.4
83840,Methadone level,3276.0,2,1638.0
97597,"Removal of tissue from wound, 20.0 sq cm or less",3256.0,5,651.2
95984,"Electronic analysis of implanted brain, spinal cord or peripheral stimulation device with brain stimulator programming, additional 15 minutes face-to-face time with qualified health care professional",3243.0,21,154.43
73721,MRI scan of leg joint,3234.0,26,124.38
61868,Implantation of brain neurostimulator electrodes with microelectrode recording,3213.0,57,56.37
80182,Nortriptyline level,3173.0,1,3173.0
80160,Desipramine level,3173.0,1,3173.0
63688,Removal or revision of neurostimulator pulse generator or receiver,3144.0,89,35.33
95910,"Nerve transmission studies, 7-8 studies",3143.0,36,87.31
20938,Harvest of bone for spine surgery graft,2981.0,46,64.8
72132,CT scan of lower spine with contrast,2960.0,28,105.71
22325,Surgical treatment of broken or dislocated lower spine bone,2945.0,47,62.66
95909,"Nerve transmission studies, 5-6 studies",2930.0,31,94.52
G2212,Prolonged office or other outpatient evaluation and management service(s) beyond the maximum required time of the primary procedure which has been selected using total time on the date of the primary service; each additional 15 minutes by the physician or,2805.0,32,87.66
G0482,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms",2791.0,7,398.71
95913,"Nerve transmission studies, 13 or more studies",2764.0,27,102.37
61863,Implantation of neurostimulator electrodes in brain,2757.0,40,68.92
63053,Partial removal of bone of additional segment of spine in lower back with release of spinal cord and/or nerves during fusion of spine in lower back,2661.0,105,25.34
62272,Spinal tap with drainage of spinal fluid,2646.0,53,49.92
63005,Partial removal of bone with release of spinal cord or spinal nerves,2629.0,64,41.08
99153,"Moderate sedation services by physician also performing a procedure, additional 15 minutes",2617.0,10,261.7
G0483,"Drug test(s), definitive, utilizing drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (an",2602.0,7,371.71
97760,Orthotic management of arm or leg and/or trunk each 15 minutes,2600.0,27,96.3
27279,Fusion sacroiliac joint through the skin or minimally invasive using image guidance,2539.0,69,36.8
64634,Injection of each additional upper or middle spinal facet joint nerve using imaging guidance,2487.0,8,310.88
77522,"Proton treatment delivery, simple with compensation",2438.0,1,2438.0
61790,Stereotactic creation of lesion of cranial nerve,2428.0,26,93.38
G0477,"Drug tests(s), presumptive, any number of drug classes; any number of devices or procedures, (eg immunoassay) capable of being read by direct optical observation only (eg, dipsticks, cups, cards, cartridges), includes sample validation when performed, per",2420.0,27,89.63
70250,"X-ray of skull, less than 4 views",2373.0,14,169.5
36569,"Insertion of central venous catheter for infusion, patient 5 years or older",2369.0,2,1184.5
99496,"Transitional care management services, highly complexity, requiring face-to-face visits within 7 days of discharge",2345.0,2,1172.5
97598,Removal of tissue from wounds per session,2343.0,2,1171.5
22859,Insertion of device into gap left by removal of part of vertebra,2332.0,43,54.23
64722,Release of unspecified nerve,2328.0,21,110.86
22849,Reinsertion of spinal fixation device,2293.0,70,32.76
97750,"Physical performance test or measurement with report, each 15 minutes",2261.0,7,323.0
99498,Advance care planning by the physician or other qualified health care professional,2243.0,2,1121.5
35301,Removal of blood clot and portion of artery of neck,2233.0,63,35.44
95991,Refilling and maintenance by physician of implantable spinal or brain drug delivery pump or reservoir,2230.0,9,247.78
96103,Psychological testing with interpretation and report by computer,2219.0,15,147.93
77280,"Management of radiation therapy simulation, simple",2218.0,2,1109.0
82075,Measurement of alcohol level in breath specimen,2198.0,1,2198.0
17250,Application of chemical agent to excessive wound tissue,2194.0,4,548.5
J7999,"Compounded drug, not otherwise classified",2177.0,9,241.89
22867,Insertion of stabilizing or separating device into lower spine at single level with open decompression,2164.0,61,35.48
99239,"Hospital discharge day management, more than 30 minutes",2152.0,34,63.29
99348,"Established patient home visit, typically 25 minutes",2151.0,2,1075.5
76882,Partial ultrasound of joint or other non-blood vessel structure of arm or leg,2095.0,4,523.75
36217,Insertion of catheter into chest or arm artery,2085.0,43,48.49
20550,"Injection of tendon sheath, ligament, or muscle membrane",2065.0,4,516.25
95939,Insertion of needles and skin electrodes for measurement and recording of stimulated sites in the arms and legs,2035.0,13,156.54
72010,X-ray of entire spine,2026.0,16,126.62
77334,"Radiation treatment devices, design and construction, complex",1989.0,2,994.5
64772,Incision or removal of spinal nerve,1986.0,8,248.25
64450,"Injection of anesthetic agent, other peripheral nerve or branch",1984.0,12,165.33
93005,Routine electrocardiogram (EKG) with tracing using at least 12 leads,1963.0,26,75.5
99345,"New patient home visit, typically 75 minutes",1961.0,1,1961.0
70544,MRA scan of head blood vessels,1953.0,24,81.38
27280,Fusion of sacroiliac joint,1948.0,51,38.2
22852,Removal of spinal instrumentation,1937.0,52,37.25
64615,Injection of chemical for destruction of facial and neck nerve muscles on both sides of face,1917.0,7,273.86
93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,1874.0,11,170.36
J1020,"Injection, methylprednisolone acetate, 20 mg",1870.0,7,267.14
93971,Ultrasound scan limited study of arm or leg veins including assessment of compression and functional maneuvers,1869.0,5,373.8
20974,Placement of electrical bone healing device,1864.0,24,77.67
99356,Prolonged inpatient or observation hospital service first hour,1864.0,11,169.45
G6040,Alcohol (ethanol); any specimen except breath,1851.0,2,925.5
99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",1815.0,3,605.0
97535,"Self-care or home management training, each 15 minutes",1812.0,11,164.73
95912,"Nerve transmission studies, 11-12 studies",1771.0,24,73.79
77012,Radiological supervision and interpretation of CT guidance for needle insertion,1754.0,11,159.45
63015,Partial removal of bone with release of spinal cord or spinal nerves,1748.0,70,24.97
61458,Excision of skull base reduce cranial nerve pressure,1743.0,26,67.04
97012,Application of mechanical traction to 1 or more areas,1738.0,7,248.29
37215,Insertion of stent and blood clot protection device in neck artery,1731.0,41,42.22
92546,Assessment and recording of abnormal eye movement with patient in a rotating chair,1730.0,10,173.0
99358,Prolonged patient service without direct patient contact first hour,1710.0,23,74.35
96136,"Psychological or neuropsychological test administration and scoring by qualified health care professional, first 30 minutes",1705.0,6,284.17
63620,Stereotactic treatment of spine growth,1700.0,20,85.0
29848,Release of wrist ligament using an endoscope,1700.0,28,60.71
64616,Injection of chemical for destruction of nerve muscles on one side of neck excluding voice box accessed through the skin,1675.0,7,239.29
J0735,"Injection, clonidine hydrochloride, 1 mg",1657.0,1,1657.0
76881,Ultrasound of leg or arm,1630.0,4,407.5
72083,"X-ray of spine, 4 or 5 views",1621.0,20,81.05
61799,Stereotactic treatment of brain growth,1621.0,18,90.06
95874,Needle measurement and recording of electrical activity of muscles for guidance with injection of chemical for destruction of muscles,1614.0,6,269.0
20551,Injection of tendon attachment to bone,1607.0,4,401.75
94060,"Measurement and graphic recording of the amount and speed of breathed air, before and following medication administration",1603.0,1,1603.0
